StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2022-01-06 01:00:00+00:00,2022-01-06 02:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7774,2022-01-06 01:00:00+00:00
2022-01-06 02:00:00+00:00,2022-01-06 03:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7775,2022-01-06 02:00:00+00:00
2022-01-06 03:00:00+00:00,2022-01-06 04:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7776,2022-01-06 03:00:00+00:00
2022-01-06 04:00:00+00:00,2022-01-06 05:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7776,2022-01-06 04:00:00+00:00
2022-01-06 05:00:00+00:00,2022-01-06 06:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7769,2022-01-06 05:00:00+00:00
2022-01-06 06:00:00+00:00,2022-01-06 07:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7757,2022-01-06 06:00:00+00:00
2022-01-06 07:00:00+00:00,2022-01-06 08:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7762,2022-01-06 07:00:00+00:00
2022-01-06 08:00:00+00:00,2022-01-06 09:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7764,2022-01-06 08:00:00+00:00
2022-01-06 09:00:00+00:00,2022-01-06 10:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7767,2022-01-06 09:00:00+00:00
2022-01-06 10:00:00+00:00,2022-01-06 11:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7777,2022-01-06 10:00:00+00:00
2022-01-06 11:00:00+00:00,2022-01-06 12:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7769,2022-01-06 11:00:00+00:00
2022-01-06 12:00:00+00:00,2022-01-06 13:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7770,2022-01-06 12:00:00+00:00
2022-01-06 13:00:00+00:00,2022-01-06 14:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7769,2022-01-06 13:00:00+00:00
2022-01-06 14:00:00+00:00,2022-01-06 15:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7773,2022-01-06 14:00:00+00:00
2022-01-06 15:00:00+00:00,2022-01-06 16:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7781,2022-01-06 15:00:00+00:00
2022-01-06 16:00:00+00:00,2022-01-06 17:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7783,2022-01-06 16:00:00+00:00
2022-01-06 17:00:00+00:00,2022-01-06 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7783,2022-01-06 17:00:00+00:00
2022-01-06 18:00:00+00:00,2022-01-06 19:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7781,2022-01-06 18:00:00+00:00
2022-01-06 19:00:00+00:00,2022-01-06 20:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7779,2022-01-06 19:00:00+00:00
2022-01-06 20:00:00+00:00,2022-01-06 21:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7781,2022-01-06 20:00:00+00:00
2022-01-06 21:00:00+00:00,2022-01-06 22:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7786,2022-01-06 21:00:00+00:00
2022-01-06 22:00:00+00:00,2022-01-06 23:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7783,2022-01-06 22:00:00+00:00
2022-01-06 23:00:00+00:00,2022-01-07 00:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7784,2022-01-06 23:00:00+00:00
2022-01-07 00:00:00+00:00,2022-01-07 01:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7792,2022-01-07 00:00:00+00:00
2022-01-07 01:00:00+00:00,2022-01-07 02:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7793,2022-01-07 01:00:00+00:00
2022-01-07 02:00:00+00:00,2022-01-07 03:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7794,2022-01-07 02:00:00+00:00
2022-01-07 03:00:00+00:00,2022-01-07 04:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7789,2022-01-07 03:00:00+00:00
2022-01-07 04:00:00+00:00,2022-01-07 05:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7785,2022-01-07 04:00:00+00:00
2022-01-07 05:00:00+00:00,2022-01-07 06:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7783,2022-01-07 05:00:00+00:00
2022-01-07 06:00:00+00:00,2022-01-07 07:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7781,2022-01-07 06:00:00+00:00
2022-01-07 07:00:00+00:00,2022-01-07 08:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7780,2022-01-07 07:00:00+00:00
2022-01-07 08:00:00+00:00,2022-01-07 09:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7772,2022-01-07 08:00:00+00:00
2022-01-07 09:00:00+00:00,2022-01-07 10:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7769,2022-01-07 09:00:00+00:00
2022-01-07 10:00:00+00:00,2022-01-07 11:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7772,2022-01-07 10:00:00+00:00
2022-01-07 11:00:00+00:00,2022-01-07 12:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7777,2022-01-07 11:00:00+00:00
2022-01-07 12:00:00+00:00,2022-01-07 13:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7773,2022-01-07 12:00:00+00:00
2022-01-07 13:00:00+00:00,2022-01-07 14:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7788,2022-01-07 13:00:00+00:00
2022-01-07 14:00:00+00:00,2022-01-07 15:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7787,2022-01-07 14:00:00+00:00
2022-01-07 15:00:00+00:00,2022-01-07 16:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7787,2022-01-07 15:00:00+00:00
2022-01-07 16:00:00+00:00,2022-01-07 17:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7783,2022-01-07 16:00:00+00:00
2022-01-07 17:00:00+00:00,2022-01-07 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7780,2022-01-07 17:00:00+00:00
2022-01-07 18:00:00+00:00,2022-01-07 19:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7779,2022-01-07 18:00:00+00:00
2022-01-07 19:00:00+00:00,2022-01-07 20:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7772,2022-01-07 19:00:00+00:00
2022-01-07 20:00:00+00:00,2022-01-07 21:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7765,2022-01-07 20:00:00+00:00
2022-01-07 21:00:00+00:00,2022-01-07 22:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7762,2022-01-07 21:00:00+00:00
2022-01-07 22:00:00+00:00,2022-01-07 23:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7757,2022-01-07 22:00:00+00:00
2022-01-07 23:00:00+00:00,2022-01-08 00:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7755,2022-01-07 23:00:00+00:00
2022-01-08 00:00:00+00:00,2022-01-08 01:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7763,2022-01-08 00:00:00+00:00
2022-01-08 01:00:00+00:00,2022-01-08 02:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7759,2022-01-08 01:00:00+00:00
2022-01-08 02:00:00+00:00,2022-01-08 03:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7754,2022-01-08 02:00:00+00:00
2022-01-08 03:00:00+00:00,2022-01-08 04:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7752,2022-01-08 03:00:00+00:00
2022-01-08 04:00:00+00:00,2022-01-08 05:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7755,2022-01-08 04:00:00+00:00
2022-01-08 05:00:00+00:00,2022-01-08 06:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7761,2022-01-08 05:00:00+00:00
2022-01-08 06:00:00+00:00,2022-01-08 07:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7776,2022-01-08 06:00:00+00:00
2022-01-08 07:00:00+00:00,2022-01-08 08:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7780,2022-01-08 07:00:00+00:00
2022-01-08 08:00:00+00:00,2022-01-08 09:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7777,2022-01-08 08:00:00+00:00
2022-01-08 09:00:00+00:00,2022-01-08 10:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7778,2022-01-08 09:00:00+00:00
2022-01-08 10:00:00+00:00,2022-01-08 11:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7781,2022-01-08 10:00:00+00:00
2022-01-08 11:00:00+00:00,2022-01-08 12:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7780,2022-01-08 11:00:00+00:00
2022-01-08 12:00:00+00:00,2022-01-08 13:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7782,2022-01-08 12:00:00+00:00
2022-01-08 13:00:00+00:00,2022-01-08 14:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7778,2022-01-08 13:00:00+00:00
2022-01-08 14:00:00+00:00,2022-01-08 15:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7777,2022-01-08 14:00:00+00:00
2022-01-08 15:00:00+00:00,2022-01-08 16:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7777,2022-01-08 15:00:00+00:00
2022-01-08 16:00:00+00:00,2022-01-08 17:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7774,2022-01-08 16:00:00+00:00
2022-01-08 17:00:00+00:00,2022-01-08 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7776,2022-01-08 17:00:00+00:00
