StartTime,EndTime,AreaID,UnitName,quantity_B19,hourly_time,total_green_energy,Load
2022-01-30 23:00:00+00:00,2022-01-31 00:00:00+00:00,10Y1001A1001A92E,MAW,2845,2022-01-30 23:00:00+00:00,2845,1700.0
2022-01-31 00:00:00+00:00,2022-01-31 01:00:00+00:00,10Y1001A1001A92E,MAW,2804,2022-01-31 00:00:00+00:00,2804,1453.0
2022-01-31 01:00:00+00:00,2022-01-31 02:00:00+00:00,10Y1001A1001A92E,MAW,2794,2022-01-31 01:00:00+00:00,2794,1326.0
2022-01-31 02:00:00+00:00,2022-01-31 03:00:00+00:00,10Y1001A1001A92E,MAW,2630,2022-01-31 02:00:00+00:00,2630,1310.0
2022-01-31 03:00:00+00:00,2022-01-31 04:00:00+00:00,10Y1001A1001A92E,MAW,2680,2022-01-31 03:00:00+00:00,2680,1269.0
2022-01-31 04:00:00+00:00,2022-01-31 05:00:00+00:00,10Y1001A1001A92E,MAW,2651,2022-01-31 04:00:00+00:00,2651,1257.0
2022-01-31 05:00:00+00:00,2022-01-31 06:00:00+00:00,10Y1001A1001A92E,MAW,2698,2022-01-31 05:00:00+00:00,2698,1283.0
2022-01-31 06:00:00+00:00,2022-01-31 07:00:00+00:00,10Y1001A1001A92E,MAW,2908,2022-01-31 06:00:00+00:00,2908,1377.0
2022-01-31 07:00:00+00:00,2022-01-31 08:00:00+00:00,10Y1001A1001A92E,MAW,2434,2022-01-31 07:00:00+00:00,2434,1675.0
2022-01-31 08:00:00+00:00,2022-01-31 09:00:00+00:00,10Y1001A1001A92E,MAW,2194,2022-01-31 08:00:00+00:00,2194,2125.0
2022-01-31 09:00:00+00:00,2022-01-31 10:00:00+00:00,10Y1001A1001A92E,MAW,2502,2022-01-31 09:00:00+00:00,2502,2356.0
2022-01-31 10:00:00+00:00,2022-01-31 11:00:00+00:00,10Y1001A1001A92E,MAW,2368,2022-01-31 10:00:00+00:00,2368,2496.0
2022-01-31 11:00:00+00:00,2022-01-31 12:00:00+00:00,10Y1001A1001A92E,MAW,1998,2022-01-31 11:00:00+00:00,1998,2560.0
2022-01-31 12:00:00+00:00,2022-01-31 13:00:00+00:00,10Y1001A1001A92E,MAW,1826,2022-01-31 12:00:00+00:00,1826,1285.0
2022-01-31 13:00:00+00:00,2022-01-31 14:00:00+00:00,10Y1001A1001A92E,MAW,1438,2022-01-31 13:00:00+00:00,1438,1296.0
2022-01-31 14:00:00+00:00,2022-01-31 15:00:00+00:00,10Y1001A1001A92E,MAW,1268,2022-01-31 14:00:00+00:00,1268,2520.0
2022-01-31 15:00:00+00:00,2022-01-31 16:00:00+00:00,10Y1001A1001A92E,MAW,1425,2022-01-31 15:00:00+00:00,1425,2506.0
2022-01-31 16:00:00+00:00,2022-01-31 17:00:00+00:00,10Y1001A1001A92E,MAW,1575,2022-01-31 16:00:00+00:00,1575,2578.0
2022-01-31 17:00:00+00:00,2022-01-31 18:00:00+00:00,10Y1001A1001A92E,MAW,2355,2022-01-31 17:00:00+00:00,2355,2905.0
2022-01-31 18:00:00+00:00,2022-01-31 19:00:00+00:00,10Y1001A1001A92E,MAW,3063,2022-01-31 18:00:00+00:00,3063,1519.0
2022-01-31 19:00:00+00:00,2022-01-31 20:00:00+00:00,10Y1001A1001A92E,MAW,3289,2022-01-31 19:00:00+00:00,3289,1342.0
2022-01-31 20:00:00+00:00,2022-01-31 21:00:00+00:00,10Y1001A1001A92E,MAW,3324,2022-01-31 20:00:00+00:00,3324,2531.0
2022-01-31 21:00:00+00:00,2022-01-31 22:00:00+00:00,10Y1001A1001A92E,MAW,3402,2022-01-31 21:00:00+00:00,3402,2326.0
2022-01-31 22:00:00+00:00,2022-01-31 23:00:00+00:00,10Y1001A1001A92E,MAW,3318,2022-01-31 22:00:00+00:00,3318,2072.0
2022-01-31 23:00:00+00:00,2022-02-01 00:00:00+00:00,10Y1001A1001A92E,MAW,2976,2022-01-31 23:00:00+00:00,2976,1772.0
2022-02-01 00:00:00+00:00,2022-02-01 01:00:00+00:00,10Y1001A1001A92E,MAW,2792,2022-02-01 00:00:00+00:00,2792,783.0
2022-02-01 01:00:00+00:00,2022-02-01 02:00:00+00:00,10Y1001A1001A92E,MAW,2645,2022-02-01 01:00:00+00:00,2645,679.0
2022-02-01 02:00:00+00:00,2022-02-01 03:00:00+00:00,10Y1001A1001A92E,MAW,2520,2022-02-01 02:00:00+00:00,2520,678.0
2022-02-01 03:00:00+00:00,2022-02-01 04:00:00+00:00,10Y1001A1001A92E,MAW,2518,2022-02-01 03:00:00+00:00,2518,623.0
2022-02-01 04:00:00+00:00,2022-02-01 05:00:00+00:00,10Y1001A1001A92E,MAW,2453,2022-02-01 04:00:00+00:00,2453,1184.0
2022-02-01 05:00:00+00:00,2022-02-01 06:00:00+00:00,10Y1001A1001A92E,MAW,2566,2022-02-01 05:00:00+00:00,2566,1193.0
2022-02-01 06:00:00+00:00,2022-02-01 07:00:00+00:00,10Y1001A1001A92E,MAW,2986,2022-02-01 06:00:00+00:00,2986,617.0
2022-02-01 07:00:00+00:00,2022-02-01 08:00:00+00:00,10Y1001A1001A92E,MAW,3328,2022-02-01 07:00:00+00:00,3328,847.0
2022-02-01 08:00:00+00:00,2022-02-01 09:00:00+00:00,10Y1001A1001A92E,MAW,3263,2022-02-01 08:00:00+00:00,3263,2073.0
2022-02-01 09:00:00+00:00,2022-02-01 10:00:00+00:00,10Y1001A1001A92E,MAW,3222,2022-02-01 09:00:00+00:00,3222,2304.0
2022-02-01 10:00:00+00:00,2022-02-01 11:00:00+00:00,10Y1001A1001A92E,MAW,3343,2022-02-01 10:00:00+00:00,3343,2411.0
2022-02-01 11:00:00+00:00,2022-02-01 12:00:00+00:00,10Y1001A1001A92E,MAW,3210,2022-02-01 11:00:00+00:00,3210,2439.0
2022-02-01 12:00:00+00:00,2022-02-01 13:00:00+00:00,10Y1001A1001A92E,MAW,3341,2022-02-01 12:00:00+00:00,3341,2443.0
2022-02-01 13:00:00+00:00,2022-02-01 14:00:00+00:00,10Y1001A1001A92E,MAW,3396,2022-02-01 13:00:00+00:00,3396,2425.0
2022-02-01 14:00:00+00:00,2022-02-01 15:00:00+00:00,10Y1001A1001A92E,MAW,2859,2022-02-01 14:00:00+00:00,2859,2318.0
2022-02-01 15:00:00+00:00,2022-02-01 16:00:00+00:00,10Y1001A1001A92E,MAW,2632,2022-02-01 15:00:00+00:00,2632,2321.0
2022-02-01 16:00:00+00:00,2022-02-01 17:00:00+00:00,10Y1001A1001A92E,MAW,2201,2022-02-01 16:00:00+00:00,2201,2437.0
2022-02-01 17:00:00+00:00,2022-02-01 18:00:00+00:00,10Y1001A1001A92E,MAW,1943,2022-02-01 17:00:00+00:00,1943,2743.0
2022-02-01 18:00:00+00:00,2022-02-01 19:00:00+00:00,10Y1001A1001A92E,MAW,1717,2022-02-01 18:00:00+00:00,1717,2809.0
2022-02-01 19:00:00+00:00,2022-02-01 20:00:00+00:00,10Y1001A1001A92E,MAW,1925,2022-02-01 19:00:00+00:00,1925,2576.0
2022-02-01 20:00:00+00:00,2022-02-01 21:00:00+00:00,10Y1001A1001A92E,MAW,2327,2022-02-01 20:00:00+00:00,2327,2387.0
2022-02-01 21:00:00+00:00,2022-02-01 22:00:00+00:00,10Y1001A1001A92E,MAW,2650,2022-02-01 21:00:00+00:00,2650,2196.0
2022-02-01 22:00:00+00:00,2022-02-01 23:00:00+00:00,10Y1001A1001A92E,MAW,3002,2022-02-01 22:00:00+00:00,3002,1943.0
2022-02-01 23:00:00+00:00,2022-02-02 00:00:00+00:00,10Y1001A1001A92E,MAW,2841,2022-02-01 23:00:00+00:00,2841,1686.0
2022-02-02 00:00:00+00:00,2022-02-02 01:00:00+00:00,10Y1001A1001A92E,MAW,3051,2022-02-02 00:00:00+00:00,3051,1460.0
2022-02-02 01:00:00+00:00,2022-02-02 02:00:00+00:00,10Y1001A1001A92E,MAW,3020,2022-02-02 01:00:00+00:00,3020,1348.0
2022-02-02 02:00:00+00:00,2022-02-02 03:00:00+00:00,10Y1001A1001A92E,MAW,2493,2022-02-02 02:00:00+00:00,2493,1303.0
2022-02-02 03:00:00+00:00,2022-02-02 04:00:00+00:00,10Y1001A1001A92E,MAW,2373,2022-02-02 03:00:00+00:00,2373,1268.0
2022-02-02 04:00:00+00:00,2022-02-02 05:00:00+00:00,10Y1001A1001A92E,MAW,2487,2022-02-02 04:00:00+00:00,2487,1242.0
2022-02-02 05:00:00+00:00,2022-02-02 06:00:00+00:00,10Y1001A1001A92E,MAW,2421,2022-02-02 05:00:00+00:00,2421,1243.0
2022-02-02 06:00:00+00:00,2022-02-02 07:00:00+00:00,10Y1001A1001A92E,MAW,2222,2022-02-02 06:00:00+00:00,2222,1370.0
2022-02-02 07:00:00+00:00,2022-02-02 08:00:00+00:00,10Y1001A1001A92E,MAW,2128,2022-02-02 07:00:00+00:00,2128,1658.0
2022-02-02 08:00:00+00:00,2022-02-02 09:00:00+00:00,10Y1001A1001A92E,MAW,1832,2022-02-02 08:00:00+00:00,1832,2104.0
2022-02-02 09:00:00+00:00,2022-02-02 10:00:00+00:00,10Y1001A1001A92E,MAW,1700,2022-02-02 09:00:00+00:00,1700,2350.0
2022-02-02 10:00:00+00:00,2022-02-02 11:00:00+00:00,10Y1001A1001A92E,MAW,1402,2022-02-02 10:00:00+00:00,1402,2510.0
2022-02-02 11:00:00+00:00,2022-02-02 12:00:00+00:00,10Y1001A1001A92E,MAW,1456,2022-02-02 11:00:00+00:00,1456,2550.0
2022-02-02 12:00:00+00:00,2022-02-02 13:00:00+00:00,10Y1001A1001A92E,MAW,1258,2022-02-02 12:00:00+00:00,1258,2552.0
2022-02-02 13:00:00+00:00,2022-02-02 14:00:00+00:00,10Y1001A1001A92E,MAW,1431,2022-02-02 13:00:00+00:00,1431,2544.0
2022-02-02 14:00:00+00:00,2022-02-02 15:00:00+00:00,10Y1001A1001A92E,MAW,1398,2022-02-02 14:00:00+00:00,1398,2448.0
2022-02-02 15:00:00+00:00,2022-02-02 16:00:00+00:00,10Y1001A1001A92E,MAW,1446,2022-02-02 15:00:00+00:00,1446,2383.0
2022-02-02 16:00:00+00:00,2022-02-02 17:00:00+00:00,10Y1001A1001A92E,MAW,1478,2022-02-02 16:00:00+00:00,1478,2416.0
2022-02-02 17:00:00+00:00,2022-02-02 18:00:00+00:00,10Y1001A1001A92E,MAW,1334,2022-02-02 17:00:00+00:00,1334,1301.0
2022-02-02 18:00:00+00:00,2022-02-02 19:00:00+00:00,10Y1001A1001A92E,MAW,1302,2022-02-02 18:00:00+00:00,1302,1398.0
2022-02-02 19:00:00+00:00,2022-02-02 20:00:00+00:00,10Y1001A1001A92E,MAW,1254,2022-02-02 19:00:00+00:00,1254,2603.0
2022-02-02 20:00:00+00:00,2022-02-02 21:00:00+00:00,10Y1001A1001A92E,MAW,1282,2022-02-02 20:00:00+00:00,1282,2384.0
2022-02-02 21:00:00+00:00,2022-02-02 22:00:00+00:00,10Y1001A1001A92E,MAW,1427,2022-02-02 21:00:00+00:00,1427,2184.0
2022-02-02 22:00:00+00:00,2022-02-02 23:00:00+00:00,10Y1001A1001A92E,MAW,1557,2022-02-02 22:00:00+00:00,1557,1948.0
2022-02-02 23:00:00+00:00,2022-02-03 00:00:00+00:00,10Y1001A1001A92E,MAW,1736,2022-02-02 23:00:00+00:00,1736,1705.0
2022-02-03 00:00:00+00:00,2022-02-03 01:00:00+00:00,10Y1001A1001A92E,MAW,1907,2022-02-03 00:00:00+00:00,1907,1465.0
2022-02-03 01:00:00+00:00,2022-02-03 02:00:00+00:00,10Y1001A1001A92E,MAW,1828,2022-02-03 01:00:00+00:00,1828,1338.0
2022-02-03 02:00:00+00:00,2022-02-03 03:00:00+00:00,10Y1001A1001A92E,MAW,1976,2022-02-03 02:00:00+00:00,1976,1287.0
2022-02-03 03:00:00+00:00,2022-02-03 04:00:00+00:00,10Y1001A1001A92E,MAW,2090,2022-02-03 03:00:00+00:00,2090,1182.0
2022-02-03 04:00:00+00:00,2022-02-03 05:00:00+00:00,10Y1001A1001A92E,MAW,2154,2022-02-03 04:00:00+00:00,2154,1127.0
2022-02-03 05:00:00+00:00,2022-02-03 06:00:00+00:00,10Y1001A1001A92E,MAW,2436,2022-02-03 05:00:00+00:00,2436,1110.0
2022-02-03 06:00:00+00:00,2022-02-03 07:00:00+00:00,10Y1001A1001A92E,MAW,2590,2022-02-03 06:00:00+00:00,2590,1140.0
2022-02-03 07:00:00+00:00,2022-02-03 08:00:00+00:00,10Y1001A1001A92E,MAW,2740,2022-02-03 07:00:00+00:00,2740,1326.0
2022-02-03 08:00:00+00:00,2022-02-03 09:00:00+00:00,10Y1001A1001A92E,MAW,2612,2022-02-03 08:00:00+00:00,2612,1562.0
2022-02-03 09:00:00+00:00,2022-02-03 10:00:00+00:00,10Y1001A1001A92E,MAW,2800,2022-02-03 09:00:00+00:00,2800,1757.0
2022-02-03 10:00:00+00:00,2022-02-03 11:00:00+00:00,10Y1001A1001A92E,MAW,2998,2022-02-03 10:00:00+00:00,2998,1954.0
2022-02-03 11:00:00+00:00,2022-02-03 12:00:00+00:00,10Y1001A1001A92E,MAW,3236,2022-02-03 11:00:00+00:00,3236,2059.0
2022-02-03 12:00:00+00:00,2022-02-03 13:00:00+00:00,10Y1001A1001A92E,MAW,3382,2022-02-03 12:00:00+00:00,3382,2086.0
2022-02-03 13:00:00+00:00,2022-02-03 14:00:00+00:00,10Y1001A1001A92E,MAW,3390,2022-02-03 13:00:00+00:00,3390,2093.0
2022-02-03 14:00:00+00:00,2022-02-03 15:00:00+00:00,10Y1001A1001A92E,MAW,3788,2022-02-03 14:00:00+00:00,3788,2040.0
2022-02-03 15:00:00+00:00,2022-02-03 16:00:00+00:00,10Y1001A1001A92E,MAW,3736,2022-02-03 15:00:00+00:00,3736,2010.0
2022-02-03 16:00:00+00:00,2022-02-03 17:00:00+00:00,10Y1001A1001A92E,MAW,3035,2022-02-03 16:00:00+00:00,3035,2058.0
2022-02-03 17:00:00+00:00,2022-02-03 18:00:00+00:00,10Y1001A1001A92E,MAW,2246,2022-02-03 17:00:00+00:00,2246,2307.0
